날짜, 도달,페이지 방문신규 팔로워,
2023-01-01T00:00:00,754,111,
2023-01-02T00:00:00,1615,156,
2023-01-03T00:00:00,867,112,
2023-01-04T00:00:00,1803,143,
2023-01-05T00:00:00,2077,202,
2023-01-06T00:00:00,1655,155,
2023-01-07T00:00:00,425,90,
2023-01-08T00:00:00,1531,254,
2023-01-09T00:00:00,1842,248,
2023-01-10T00:00:00,1476,137,
2023-01-11T00:00:00,1591,180,
2023-01-12T00:00:00,1808,199,
2023-01-13T00:00:00,723,105,
2023-01-14T00:00:00,1164,117,
2023-01-15T00:00:00,147,129,
2023-01-16T00:00:00,1528,327,
2023-01-17T00:00:00,1867,320,
2023-01-18T00:00:00,2167,282,
2023-01-19T00:00:00,1516,373,
2023-01-20T00:00:00,979,278,
2023-01-21T00:00:00,1232,200,
2023-01-22T00:00:00,380,147,
2023-01-23T00:00:00,167,145,
2023-01-24T00:00:00,132,140,
2023-01-25T00:00:00,1842,262,
2023-01-26T00:00:00,2392,288,
2023-01-27T00:00:00,1247,163,
2023-01-28T00:00:00,607,120,
2023-01-29T00:00:00,343,115,
2023-01-30T00:00:00,183,261,
2023-01-31T00:00:00,1157,225,
2023-02-01T00:00:00,2405,189,
2023-02-02T00:00:00,1036,164,
2023-02-03T00:00:00,2138,207,
2023-02-04T00:00:00,635,148,
2023-02-05T00:00:00,372,180,
2023-02-06T00:00:00,159,189,8
2023-02-07T00:00:00,1029,256,11
2023-02-08T00:00:00,1436,204,6
2023-02-09T00:00:00,207,219,12
2023-02-10T00:00:00,1406,229,14
2023-02-11T00:00:00,257,347,15
2023-02-12T00:00:00,1081,302,11
2023-02-13T00:00:00,2971,475,16
2023-02-14T00:00:00,2645,348,14
2023-02-15T00:00:00,2784,356,12
2023-02-16T00:00:00,2659,336,6
2023-02-17T00:00:00,1850,325,11
2023-02-18T00:00:00,2222,516,17
2023-02-19T00:00:00,1351,535,28
2023-02-20T00:00:00,2851,725,55
2023-02-21T00:00:00,2559,619,15
2023-02-22T00:00:00,2454,600,17
2023-02-23T00:00:00,2341,611,27
2023-02-24T00:00:00,1961,492,23
2023-02-25T00:00:00,635,347,16
2023-02-26T00:00:00,2093,482,20
2023-02-27T00:00:00,2917,980,23
2023-02-28T00:00:00,2577,627,15
2023-03-01T00:00:00,1753,481,11
2023-03-02T00:00:00,2855,895,12
2023-03-03T00:00:00,2285,534,15
2023-03-04T00:00:00,1081,296,8
2023-03-05T00:00:00,1845,309,10
2023-03-06T00:00:00,2535,945,65
2023-03-07T00:00:00,3041,881,33
2023-03-08T00:00:00,2811,516,11
2023-03-09T00:00:00,2525,422,6
2023-03-10T00:00:00,2202,356,8
2023-03-11T00:00:00,1711,266,6
2023-03-12T00:00:00,1565,264,4
2023-03-13T00:00:00,2570,339,7
2023-03-14T00:00:00,2132,310,6
2023-03-15T00:00:00,1835,257,4
2023-03-16T00:00:00,2623,462,7
2023-03-17T00:00:00,2504,534,5
2023-03-18T00:00:00,1550,234,1
2023-03-19T00:00:00,1610,279,7
2023-03-20T00:00:00,3572,403,5
2023-03-21T00:00:00,4837,387,5
2023-03-22T00:00:00,5927,540,1
2023-03-23T00:00:00,2723,291,3
2023-03-24T00:00:00,886,207,7
2023-03-25T00:00:00,605,151,2
2023-03-26T00:00:00,290,307,7
2023-03-27T00:00:00,2149,373,1
2023-03-28T00:00:00,3036,511,8
2023-03-29T00:00:00,2776,382,6
2023-03-30T00:00:00,2389,305,1
2023-03-31T00:00:00,1578,224,7
2023-04-01T00:00:00,522,186,2
2023-04-02T00:00:00,2357,381,5
2023-04-03T00:00:00,2545,438,5
2023-04-04T00:00:00,2768,346,2
2023-04-05T00:00:00,1845,221,1
2023-04-06T00:00:00,2285,250,7
2023-04-07T00:00:00,2652,275,3
2023-04-08T00:00:00,770,242,7
2023-04-09T00:00:00,846,207,6
2023-04-10T00:00:00,2385,303,8
2023-04-11T00:00:00,1867,264,1
2023-04-12T00:00:00,2011,285,4
2023-04-13T00:00:00,2447,563,4
2023-04-14T00:00:00,2925,645,4
2023-04-15T00:00:00,1430,250,5
2023-04-16T00:00:00,2457,284,5
2023-04-17T00:00:00,2046,245,2
2023-04-18T00:00:00,2288,274,5
2023-04-19T00:00:00,2556,281,1
2023-04-20T00:00:00,2325,231,5
2023-04-21T00:00:00,2580,319,7
2023-04-22T00:00:00,1184,160,4
